assigned_message,message_language,date_sent,is_chosen_from_uniform,is_within_one_week_after_send,count
message_4,English,2021-05-26,True,True,11
message_4,English,2021-05-27,True,False,1094
message_4,English,2021-05-27,True,True,17
message_4,English,2021-05-28,True,False,1106
message_4,English,2021-05-28,True,True,5
message_4,English,2021-06-02,False,False,248
message_4,English,2021-06-02,False,True,4
message_4,English,2021-06-02,True,False,229
message_4,English,2021-06-02,True,True,4
message_4,English,2021-06-03,False,False,276
message_4,English,2021-06-03,False,True,4
message_4,English,2021-06-03,True,False,198
message_4,English,2021-06-03,True,True,3
message_4,English,2021-06-04,False,False,254
message_4,English,2021-06-04,False,True,2
message_4,English,2021-06-04,True,False,227
message_4,English,2021-06-04,True,True,2
message_4,English,2021-06-07,False,False,254
message_4,English,2021-06-07,True,False,228
message_4,English,2021-06-08,False,False,275
message_4,English,2021-06-08,False,True,2
message_4,English,2021-06-08,True,False,203
message_4,English,2021-06-08,True,True,1
message_4,English,2021-06-09,False,False,218
message_4,English,2021-06-09,False,True,1
message_4,English,2021-06-09,True,False,579
message_4,English,2021-06-09,True,True,4
message_4,English,2021-06-10,False,False,249
message_4,English,2021-06-10,False,True,1
message_4,English,2021-06-10,True,False,555
message_4,English,2021-06-10,True,True,3
message_4,English,2021-06-11,False,False,217
message_4,English,2021-06-11,False,True,2
message_4,English,2021-06-11,True,False,584
message_4,English,2021-06-11,True,True,6
message_4,English,2021-06-14,False,False,237
message_4,English,2021-06-14,True,False,570
message_4,English,2021-06-14,True,True,3
message_4,English,2021-06-15,False,False,245
message_4,English,2021-06-15,False,True,2
message_4,English,2021-06-15,True,False,556
message_4,English,2021-06-15,True,True,5
message_4,Spanish,2021-06-09,False,False,4
message_4,Spanish,2021-06-09,True,False,7
message_4,Spanish,2021-06-10,False,False,4
message_4,Spanish,2021-06-10,True,False,1
message_4,Spanish,2021-06-11,False,False,2
message_4,Spanish,2021-06-11,True,False,2
message_4,Spanish,2021-06-14,False,False,1
message_4,Spanish,2021-06-14,True,False,2
message_4,Spanish,2021-06-15,False,False,1
message_4,Spanish,2021-06-15,True,False,3
message_5,English,2021-05-25,True,False,1094
message_5,English,2021-05-25,True,True,17
message_5,English,2021-05-26,True,False,1101
message_5,English,2021-05-26,True,True,10
message_5,English,2021-05-27,True,False,1101
message_5,English,2021-05-27,True,True,10
message_5,English,2021-05-28,True,False,1093
message_5,English,2021-05-28,True,True,18
message_5,English,2021-06-02,False,False,1496
message_5,English,2021-06-02,False,True,9
message_5,English,2021-06-02,True,False,190
message_5,English,2021-06-02,True,True,3
message_5,English,2021-06-03,False,False,1470
message_5,English,2021-06-03,False,True,12
message_5,English,2021-06-03,True,False,218
message_5,English,2021-06-04,False,False,1439
message_5,English,2021-06-04,False,True,13
message_5,English,2021-06-04,True,False,248
message_5,English,2021-06-04,True,True,1
message_5,English,2021-06-07,False,False,1463
message_5,English,2021-06-07,False,True,10
message_5,English,2021-06-07,True,False,231
message_5,English,2021-06-08,False,False,1471
message_5,English,2021-06-08,False,True,18
message_5,English,2021-06-08,True,False,209
message_5,English,2021-06-08,True,True,1
message_5,English,2021-06-09,True,False,563
message_5,English,2021-06-09,True,True,10
