assigned_message,message_language,date_sent,is_chosen_from_uniform,is_vax_after_send,count
message_0,English,2021-05-25,True,False,1062
message_0,English,2021-05-25,True,True,50
message_0,English,2021-05-26,True,False,1070
message_0,English,2021-05-26,True,True,41
message_0,English,2021-05-27,True,False,1081
message_0,English,2021-05-27,True,True,30
message_0,English,2021-05-28,True,False,1073
message_0,English,2021-05-28,True,True,38
message_0,English,2021-06-02,False,False,486
message_0,English,2021-06-02,False,True,9
message_0,English,2021-06-02,True,False,199
message_0,English,2021-06-02,True,True,5
message_0,English,2021-06-03,False,False,469
message_0,English,2021-06-03,False,True,8
message_0,English,2021-06-03,True,False,218
message_0,English,2021-06-03,True,True,2
message_0,English,2021-06-04,False,False,490
message_0,English,2021-06-04,False,True,10
message_0,English,2021-06-04,True,False,197
message_0,English,2021-06-04,True,True,2
message_0,English,2021-06-07,False,False,468
message_0,English,2021-06-07,False,True,8
message_0,English,2021-06-07,True,False,221
message_0,English,2021-06-07,True,True,1
message_0,English,2021-06-08,False,False,470
message_0,English,2021-06-08,False,True,13
message_0,English,2021-06-08,True,False,212
message_0,English,2021-06-08,True,True,6
message_0,English,2021-06-09,False,False,258
message_0,English,2021-06-09,False,True,5
message_0,English,2021-06-09,True,False,574
message_0,English,2021-06-09,True,True,6
message_0,English,2021-06-10,False,False,262
message_0,English,2021-06-10,False,True,3
message_0,English,2021-06-10,True,False,567
message_0,English,2021-06-10,True,True,6
message_0,English,2021-06-11,False,False,258
message_0,English,2021-06-11,False,True,2
message_0,English,2021-06-11,True,False,568
message_0,English,2021-06-11,True,True,10
message_0,English,2021-06-14,False,False,275
message_0,English,2021-06-14,False,True,3
message_0,English,2021-06-14,True,False,553
message_0,English,2021-06-14,True,True,6
message_0,English,2021-06-15,False,False,280
message_0,English,2021-06-15,False,True,3
message_0,English,2021-06-15,True,False,553
message_0,English,2021-06-15,True,True,5
message_0,Spanish,2021-06-09,False,False,1
message_0,Spanish,2021-06-09,True,False,2
message_0,Spanish,2021-06-09,True,True,1
message_0,Spanish,2021-06-10,False,False,3
message_0,Spanish,2021-06-10,True,False,6
message_0,Spanish,2021-06-11,False,False,2
message_0,Spanish,2021-06-11,True,False,7
message_0,Spanish,2021-06-14,False,False,4
message_0,Spanish,2021-06-14,True,False,6
message_0,Spanish,2021-06-15,False,False,3
message_0,Spanish,2021-06-15,True,False,2
message_1,English,2021-05-25,True,False,1076
message_1,English,2021-05-25,True,True,36
message_1,English,2021-05-26,True,False,1059
message_1,English,2021-05-26,True,True,52
message_1,English,2021-05-27,True,False,1086
message_1,English,2021-05-27,True,True,25
message_1,English,2021-05-28,True,False,1079
message_1,English,2021-05-28,True,True,32
message_1,English,2021-06-02,False,False,379
message_1,English,2021-06-02,False,True,6
message_1,English,2021-06-02,True,False,224
message_1,English,2021-06-02,True,True,7
message_1,English,2021-06-03,False,False,378
message_1,English,2021-06-03,False,True,9
message_1,English,2021-06-03,True,False,221
message_1,English,2021-06-03,True,True,3
message_1,English,2021-06-04,False,False,373
message_1,English,2021-06-04,False,True,5
message_1,English,2021-06-04,True,False,235
message_1,English,2021-06-04,True,True,3
message_1,English,2021-06-07,False,False,390
message_1,English,2021-06-07,False,True,2
message_1,English,2021-06-07,True,False,217
message_1,English,2021-06-07,True,True,3
message_1,English,2021-06-08,False,False,381
message_1,English,2021-06-08,False,True,7
message_1,English,2021-06-08,True,False,220
