,dem_vote,gop_vote,total_vote,total_population,black_population,hispanic_population,any_black_population,state,zcta
5542,2933.913024961981,1047.2796281998126,4065.3433526882304,19346.0,2689.0,12710.0,3176.0,44,02863
9425,10770.349210560578,8315.465297134102,19471.616595190637,34624.0,376.0,2299.0,532.0,44,02864
154,5624.65118075564,4888.176614676298,10717.940612754443,17448.0,242.0,990.0,315.0,44,02865
155,6511.162173576667,3900.859291799532,10680.003328339653,17140.0,293.0,586.0,415.0,44,02871
5848,68.33639421784575,40.812013213435655,112.94487377671729,278.0,0.0,0.0,0.0,44,02872
5849,119.3726942317962,119.04104298229831,244.53591728245607,190.0,0.0,0.0,0.0,44,02873
27301,2899.9067304288196,1773.2881849665855,4789.272596225619,5960.0,92.0,168.0,104.0,44,02874
173,70.74263812621257,65.55822332825818,139.66269212106002,546.0,0.0,0.0,0.0,44,02875
5850,47.420703772857784,47.77570410428818,96.93970964126314,291.0,0.0,38.0,23.0,44,02876
9426,5086.249959344112,3968.757845312417,9205.256382326108,15816.0,132.0,401.0,279.0,44,02878
26886,8488.023400921655,3770.051738186029,12564.277862891146,20524.0,301.0,743.0,365.0,44,02879
5859,651.1074930810487,294.09686080756785,971.1324403355308,7836.0,408.0,789.0,497.0,44,02881
215,4740.541857105002,3160.9658509788346,8034.0668746794645,13951.0,129.0,515.0,141.0,44,02882
27302,3492.9103758317665,2224.531975671213,5855.5221001734535,10464.0,68.0,221.0,159.0,44,02885
26887,8875.810896894736,6760.943104632009,15958.304818735409,29007.0,386.0,1966.0,517.0,44,02886
27303,6553.313463206836,4183.970435482133,10996.391789228308,19167.0,349.0,1230.0,558.0,44,02888
26888,7684.855439307135,6632.123745465233,14652.961822411038,27333.0,396.0,1408.0,701.0,44,02889
216,6612.0456768784725,4961.10709856571,11789.124992401234,21085.0,274.0,664.0,345.0,44,02891
9427,2552.4470644864905,1500.1917793576333,4170.07979466191,5186.0,75.0,22.0,219.0,44,02892
9428,7193.7822922723935,6413.698724687172,13878.649532729567,29153.0,890.0,1499.0,1148.0,44,02893
27304,231.05132999915693,254.2847737555727,497.688087472119,674.0,0.0,0.0,0.0,44,02894
9429,7164.24501611715,6129.367780807434,13573.6259890292,41539.0,3832.0,7738.0,4918.0,44,02895
5543,3442.0233542470214,3468.5500869286825,7056.847578305241,12058.0,343.0,604.0,422.0,44,02896
5860,626.1003843004314,658.2224135758736,1316.525388914934,1643.0,0.0,72.0,0.0,44,02898
24251,4109.330863642594,658.8423504887825,4859.076474310782,10542.0,934.0,2240.0,1274.0,44,02903
5824,9063.356472864849,4995.973181326814,14311.883071739852,30522.0,5171.0,6941.0,6095.0,44,02904
220,7274.728691072769,1837.133165107001,9268.96209501621,25488.0,4555.0,11217.0,5206.0,44,02905
219,10669.434590209348,1274.4291873896223,12178.737232226622,28196.0,1584.0,1704.0,1976.0,44,02906
5861,5493.603455578335,1287.2287797276567,6883.176111904761,30781.0,6505.0,18898.0,7207.0,44,02907
24252,8574.542760538503,2467.8139176071545,11295.519207381385,37549.0,6485.0,14857.0,7387.0,44,02908
5825,8516.13680415993,2498.660287894603,11195.257488455949,40572.0,5542.0,24472.0,6298.0,44,02909
9430,6311.0996546406495,3446.218865683486,9952.645223466434,22143.0,1461.0,4296.0,1793.0,44,02910
156,4254.571278800583,3033.460447229689,7405.714978086326,15864.0,801.0,2041.0,971.0,44,02911
5851,79.38501438967448,5.81700536476063,88.623787616059,1360.0,64.0,142.0,95.0,44,02912
9431,5572.909568531108,2805.6569191766152,8529.198130568628,21605.0,2683.0,1755.0,3852.0,44,02914
9432,5755.638323273091,3347.005188590675,9317.423338667368,16646.0,508.0,324.0,905.0,44,02915
153,2614.160713184864,1266.0717476444327,3971.9166431412195,9075.0,208.0,530.0,306.0,44,02916
5826,3852.3023099510424,4012.411569728055,8019.731028183646,13803.0,221.0,353.0,335.0,44,02917
9434,6817.107984321492,8129.227300381282,15147.854534363492,29254.0,539.0,2507.0,844.0,44,02919
24253,9007.995628545112,7917.831443507654,17193.154484825678,37199.0,2452.0,5720.0,3426.0,44,02920
9433,3652.5233252031126,4490.451559166884,8282.204365864807,12415.0,494.0,269.0,563.0,44,02921
